ZTF18acbwchi 0.090000 Ia
58464.3078125 2 19.8774 0.140069
58461.5127083 2 19.7825 0.206432
58455.4935995 2 19.8729 0.180941
58455.3435648 2 19.6895 0.203107
58443.4053009 2 19.3748 0.150398
58443.3645486 2 19.3753 0.10936
58441.3313079 2 19.3167 0.125324
58439.296412 2 19.082 0.111078
58437.3808333 2 19.0775 0.110464
58436.3262847 2 18.9758 0.104043
58434.439838 2 19.0605 0.109774
58432.3443287 2 18.9469 0.13199
58431.3927431 2 19.0047 0.136673
58429.3627083 2 18.9324 0.0688037
58425.4476042 2 19.056 0.0686775
58422.5073495 2 19.2377 0.112486
