ZTF20aapchqy 0.003900 II
58987.3508565 2 17.1509 0.036946
58986.4718171 2 17.1729 0.0455537
58985.3927083 2 17.1595 0.0404965
58981.408831 2 17.202 0.0390111
58980.4650694 2 17.2067 0.0386917
58979.3431019 2 17.1924 0.0503222
58978.3010069 2 17.1939 0.0390455
58977.4426852 2 17.2405 0.0488989
58976.3498958 2 17.2585 0.0425365
58975.4465509 2 17.2751 0.0414667
58974.3217593 2 17.2081 0.0425995
58973.3232755 2 17.2498 0.0519481
58972.4229282 2 17.2727 0.0408355
58971.412581 2 17.2995 0.051336
58970.4032176 2 17.2934 0.0372941
58969.3493287 2 17.2735 0.0931901
58968.3999537 2 17.3293 0.0442991
58967.408588 2 17.3148 0.0454777
58966.4645255 2 17.3417 0.0440753
58965.4463657 2 17.3667 0.0392219
58964.4171181 2 17.3766 0.0409052
58962.4744097 2 17.4037 0.0421417
58961.4476157 2 17.4006 0.0529696
58956.3243403 2 17.4436 0.0487362
58955.4541435 2 17.4624 0.0462332
58954.4927083 2 17.4367 0.0436136
58944.5101968 2 17.5121 0.0517232
58943.4727431 2 17.4951 0.0499504
58936.5182986 2 17.5413 0.0417517
58915.5175 2 17.3353 0.18794
58914.5475579 2 17.6341 0.0476239
58913.4959722 2 17.6243 0.0659156
58912.4944792 2 17.5945 0.0605528
58911.4933565 2 17.5781 0.0592909
58908.4893519 2 17.5479 0.0529527
58908.4893519 2 17.5479 0.052953
58903.5121528 2 17.5887 0.046881
58900.4882292 2 17.6193 0.0537423
58899.4813542 2 17.6135 0.053067
58898.5306481 2 17.6925 0.053883
