ZTF20aamhocj 0.070000 Ia
58967.4557639 1 21.0416 0.309647
58964.4634028 1 20.7428 0.224113
58936.4929861 1 20.2923 0.205488
58914.4921644 1 19.2062 0.321666
58911.5439468 1 18.9374 0.135035
58908.5475463 1 18.5976 0.0794393
58908.5475463 1 18.5976 0.079439
58904.553912 1 18.2306 0.069657
58900.5552315 1 17.9284 0.0712518
58895.5442361 1 17.764 0.0624775
58892.5512384 1 17.6784 0.0700118
58886.4847338 1 17.9126 0.0828769
