ZTF18aaxdrjn 0.033900 Ia
58300.1972338 1 18.989 0.107618
58294.2063889 1 18.2399 0.0719908
58294.1820139 1 18.1655 0.0664118
58288.2026736 1 17.4846 0.0514232
58288.2017014 1 17.5058 0.0426013
58285.224213 1 17.2392 0.177212
58279.1963542 1 16.9287 0.0102269
58279.1928935 1 16.9547 0.0103293
58276.2428009 1 17.0264 0.0107297
58276.2256829 1 17.026 0.0101758
58272.25 1 17.4215 0.0153831
58272.25 1 17.4974 0.0153935
58269.25 1 18.1447 0.0714707
