ZTF18abmxdhb 0.070000 Ia
58380.1227894 1 19.3413 0.14084
58377.2642824 1 19.0775 0.128555
58377.2197917 1 19.1306 0.122657
58374.2396991 1 18.9561 0.0892751
58374.2212963 1 18.9041 0.119245
58371.2414931 1 18.6847 0.116884
58371.240081 1 18.7295 0.082291
58368.2634144 1 18.5634 0.110552
58368.2392014 1 18.5456 0.0727915
58365.260162 1 18.4969 0.0948933
58365.2591782 1 18.4285 0.068581
58362.196412 1 18.3226 0.0967797
58359.1446991 1 18.3037 0.143676
58352.3482176 1 18.9668 0.146522
58352.1821644 1 18.9209 0.0960691
58349.2203935 1 19.5004 0.199531
58349.1797222 1 19.5592 0.18317
