ZTF18acbzpxx 0.088300 Ia
58464.5275926 2 19.8197 0.143423
58461.511331 2 19.8167 0.188895
58455.4949884 2 19.5171 0.1551
58447.4524884 2 19.2007 0.139521
58441.4337153 2 19.1279 0.0953888
58438.513831 2 18.9927 0.0861468
58432.3879977 2 18.8481 0.111356
58429.5196875 2 18.7239 0.0805981
58426.5490278 2 18.7223 0.102652
58426.4303356 2 18.8179 0.096642
58423.5162616 2 18.7916 0.0996736
