ZTF20aatulug 0.097000 Ia
58987.3262731 2 20.1077 0.178658
58986.301794 2 20.0327 0.15581
58985.3903472 2 19.8215 0.145616
58981.2847569 2 19.738 0.134328
58980.3028356 2 19.5979 0.148499
58979.3046412 2 19.4898 0.144327
58978.3078125 2 19.4457 0.126673
58975.3921875 2 19.2861 0.137477
58974.3502894 2 19.2709 0.14406
58973.3237963 2 19.3656 0.115955
58972.3898032 2 19.3141 0.103189
58971.3907292 2 19.2058 0.0840508
58970.3846296 2 19.2189 0.081847
58968.4009259 2 19.1782 0.0723955
58967.3953241 2 19.1829 0.0975732
58966.3848148 2 19.0755 0.0730948
58965.338044 2 19.1124 0.0735923
58964.4344676 2 19.0885 0.0835055
58962.3256366 2 18.9519 0.0983942
58956.3455903 2 18.6808 0.0503105
58955.4327083 2 18.6363 0.0777602
58954.494537 2 18.5792 0.0850218
58944.5083681 2 18.5071 0.0779022
58943.4709028 2 18.4852 0.0603117
58939.4937616 2 17.9945 0.258049
58936.5169097 2 19.1405 0.0786167
