ZTF19abjsmmv 0.020000 II
58778.1180787 1 18.9431 0.145175
58778.1176273 1 18.816 0.127165
58775.1166898 1 18.8548 0.141134
58775.1162384 1 19.12 0.147943
58772.1184491 1 18.8203 0.122211
58772.1179977 1 18.8028 0.178363
58758.133044 1 18.8017 0.10444
58758.1325926 1 18.7065 0.0949779
58749.1338426 1 18.6047 0.0825922
58749.1315625 1 18.4996 0.0895011
58745.1355787 1 18.5965 0.0880877
58745.1351157 1 18.4581 0.0804581
58738.1368981 1 18.4632 0.085301
58735.1331366 1 18.4149 0.0814153
58733.1520949 1 18.2731 0.0749706
58732.131169 1 18.3318 0.0727533
58724.2651736 1 18.1145 0.0716847
58724.1747338 1 18.1138 0.0790643
58721.1559491 1 18.117 0.254813
58718.1790394 1 17.9644 0.0542013
58718.178588 1 17.9104 0.0625546
58714.1591782 1 17.8044 0.0493212
58714.1521181 1 17.7781 0.0626173
58711.1534954 1 17.6769 0.0578267
58708.1785532 1 17.5486 0.0650484
58708.1568634 1 17.4843 0.0501699
58697.2012963 1 17.9599 0.058388
58697.199919 1 18.0826 0.0590351
58694.2254977 1 19.7095 0.186379
