ZTF19acytcsg 0.031900 II
58936.2609838 1 19.8295 0.149103
58915.2173148 1 19.2225 0.160976
58912.2604167 1 19.1008 0.147458
58909.2909144 1 19.435 0.239695
58906.3046528 1 19.0408 0.110396
58903.3311111 1 19.0784 0.12597
58903.2789352 1 19.1189 0.104559
58899.361169 1 19.0796 0.126968
58895.2393287 1 19.0216 0.0987916
58894.3035069 1 18.9565 0.0981607
58893.2460185 1 19.0707 0.0858437
58893.2418866 1 19.0436 0.095802
58892.1761458 1 18.9769 0.112458
58891.2370718 1 18.972 0.110912
58890.3008449 1 19.0365 0.200404
58890.299919 1 19.016 0.176272
58888.2600926 1 18.9179 0.190256
58887.2605093 1 19.0439 0.179803
58886.2430208 1 18.9851 0.145123
58885.3035995 1 18.9548 0.167528
58884.2990509 1 18.8939 0.165471
58883.4461574 1 19.0146 0.118795
58883.4452199 1 18.9759 0.128092
58881.4472106 1 18.8796 0.0884821
58880.4328935 1 18.8479 0.0899081
58880.4281134 1 18.8717 0.0852752
58879.263588 1 18.7903 0.136972
58878.3917824 1 18.7675 0.093646
58877.3861111 1 18.8408 0.090932
58877.3663542 1 18.8759 0.111776
58876.3653472 1 18.852 0.0895254
58876.3653472 1 18.8526 0.089689
58875.4265972 1 18.7969 0.102577
58874.3879861 1 18.8373 0.132492
58874.3870833 1 18.698 0.101626
58873.3698032 1 18.875 0.103121
58871.4155093 1 18.7593 0.111984
58871.4146065 1 18.7644 0.0908021
58867.4058681 1 18.682 0.0916694
58864.4228588 1 18.6601 0.0943412
58855.4950231 1 18.383 0.0784252
58854.5347917 1 18.4474 0.143094
58852.4892708 1 18.4272 0.0634312
58849.5188657 1 18.358 0.0786296
58846.508044 1 18.3267 0.0641224
58837.4990625 1 18.2219 0.067789
