ZTF20aadyukn 0.060000 Ia
58909.3237269 2 19.4051 0.202438
58904.2200116 2 19.2503 0.169251
58899.3275463 2 19.04 0.129372
58899.2909722 2 19.0087 0.124903
58896.3028125 2 18.8385 0.112624
58896.3018866 2 18.7896 0.112659
58895.2818171 2 18.831 0.134668
58894.2834838 2 18.7201 0.0971555
58893.3037847 2 18.7563 0.105579
58893.3028588 2 18.861 0.12661
58891.3285764 2 18.7434 0.0978165
58890.4264583 2 18.7213 0.165435
58890.4255556 2 18.5534 0.167384
58888.4252199 2 18.5356 0.122728
58886.3012616 2 18.8178 0.148592
58885.2405093 2 18.6471 0.154365
58884.4879398 2 18.6425 0.127168
58884.4861343 2 18.5997 0.101028
58883.511875 2 18.755 0.149739
58881.3457639 2 18.6035 0.117905
58881.344838 2 18.5804 0.0890821
58880.2787731 2 18.5789 0.108505
58879.3261343 2 18.305 0.117021
58878.3287153 2 18.4233 0.119199
58878.3278125 2 18.3308 0.0990372
58877.3201042 2 18.2623 0.075386
58876.2619676 2 18.2435 0.0681486
58875.2576042 2 18.203 0.089541
58875.2548264 2 18.207 0.071467
58874.2648843 2 18.1619 0.0786441
58873.284213 2 18.1385 0.068894
58871.3250463 2 17.9979 0.0681219
58866.3620023 2 17.9834 0.0716119
58863.3616435 2 18.047 0.0671741
58860.3913426 2 18.2137 0.0908612
58860.3007639 2 18.3605 0.116343
58859.2811574 2 18.5003 0.136882
58855.5312731 2 18.9528 0.131691
