ZTF19aaycomi 0.030000 Ia
58736.4406597 1 20.4241 0.163533
58733.3746759 1 20.4659 0.238256
58733.3719676 1 20.3855 0.209916
58730.331088 1 20.3093 0.184813
58730.3274537 1 20.0883 0.220327
58727.3782176 1 20.378 0.208652
58725.3709838 1 20.323 0.155921
58724.4223958 1 20.0395 0.172652
58718.4162269 1 19.9226 0.232771
58709.4536343 1 19.863 0.295516
58709.4527315 1 19.8268 0.305276
58706.4367245 1 20.1145 0.145823
58703.4628588 1 19.8871 0.125437
58700.4780903 1 20.0192 0.151953
58700.4771181 1 19.8875 0.132098
58697.4779282 1 19.8533 0.136908
58695.4069329 1 19.9052 0.108628
58695.4055787 1 19.9103 0.142729
58694.4564468 1 19.7341 0.100803
58694.437419 1 19.7235 0.112416
58694.4342708 1 19.7743 0.145653
58694.4264699 1 19.7822 0.164274
58691.4933449 1 19.6919 0.160021
58691.4571644 1 19.6056 0.113925
58690.4884144 1 19.6379 0.146138
58688.4670139 1 19.4747 0.16728
58688.4642477 1 19.5032 0.136766
58684.4074537 1 19.3537 0.160621
58684.4005903 1 19.3754 0.215044
58682.477419 1 19.3111 0.197076
58681.4813426 1 18.971 0.142042
58678.4404167 1 18.9337 0.0775524
58678.4394907 1 18.9208 0.0869607
58675.4472917 1 18.6777 0.0679985
58675.4463657 1 18.6834 0.0751941
58672.4268634 1 18.3773 0.0657717
58669.4610648 1 18.0511 0.0523448
58665.4761458 1 17.5981 0.0510167
58663.4600116 1 17.3854 0.0420093
58661.4769907 1 17.1889 0.0386981
58660.4419907 1 17.401 0.142536
58658.4656597 1 17.0007 0.0425269
58655.4784606 1 16.8749 0.04456
58653.379456 1 16.8967 0.0469195
58650.4796065 1 17.071 0.0360099
58647.4702199 1 17.3661 0.0550573
58647.468831 1 17.3298 0.0487674
58644.4452431 1 18.0652 0.0623446
58644.4438542 1 18.0846 0.0469014
58641.4453241 1 19.226 0.0869486
58641.4435069 1 19.2411 0.0954711
