ZTF19aauishy 0.022600 II
58724.1371991 2 19.3955 0.208534
58701.1612731 2 18.8899 0.225716
58692.1875347 2 18.7963 0.131295
58682.2501273 2 18.7506 0.116714
58679.2060764 2 18.7026 0.0799614
58676.2067593 2 18.7784 0.10472
58670.1777431 2 18.7475 0.0807229
58667.2156134 2 18.7937 0.0781502
58663.1985417 2 18.7837 0.0932299
58660.2213542 2 18.7466 0.0920456
58657.2693634 2 18.7405 0.0849556
58654.1957755 2 18.6974 0.0837889
58651.2485417 2 18.6997 0.113059
58648.2134375 2 18.7131 0.0931017
58645.2789815 2 18.7706 0.0910483
58642.2337847 2 18.7135 0.0819952
58636.2220949 2 18.5515 0.0719462
58633.190463 2 18.645 0.0878054
58628.2896528 2 18.6885 0.0642616
58618.2227662 2 18.7157 0.110202
58616.1707407 2 18.7725 0.106027
58612.2460185 2 19.4694 0.111349
