ZTF20aammhli 0.015000 Ia
58971.4535532 1 20.7682 0.198159
58968.4486574 1 20.7328 0.228691
58967.4506019 1 20.8822 0.265624
58966.4422222 1 20.6519 0.204492
58964.3940509 1 20.6498 0.212004
58963.413125 1 20.6179 0.256262
58962.4951968 1 20.3945 0.234918
58956.4698611 1 20.6259 0.317136
58955.4676042 1 20.6393 0.265956
58953.4298727 1 20.3983 0.255923
58944.4671296 1 19.977 0.236051
58943.4552546 1 20.3068 0.271859
58941.4927083 1 20.5272 0.27641
58936.4860532 1 20.275 0.193728
58914.444537 1 18.9349 0.133842
58913.5317014 1 18.9083 0.102879
58912.5331481 1 18.7068 0.0719865
58911.5322801 1 18.5672 0.0693538
58908.5517361 1 18.1697 0.068297
58908.5517361 1 18.1697 0.068297
58906.5275579 1 17.8683 0.09982
58905.5288426 1 17.8675 0.097612
58903.5293866 1 17.6182 0.0471191
58900.5387731 1 17.4979 0.0707027
58899.5409259 1 17.4611 0.047921
58898.556088 1 17.4823 0.044568
58895.5310417 1 17.711 0.0530215
58894.5537153 1 17.8285 0.0782777
58893.4862616 1 17.9916 0.068581
58892.553044 1 18.2096 0.0683053
58891.4706134 1 18.4384 0.0906534
58890.5519213 1 18.6508 0.184106
