ZTF18abuhzfc 0.038000 Ia
58437.2790278 2 19.3874 0.197775
58434.1935417 2 18.8783 0.128197
58431.1904861 2 18.1262 0.0946307
58428.2331481 2 18.7941 0.109257
58422.3170255 2 18.7649 0.109211
58397.2911921 2 17.7687 0.0641181
58389.3216782 2 17.2907 0.0550294
58385.3327894 2 17.1594 0.0439645
58382.3345833 2 17.136 0.0426362
58379.3985648 2 17.2661 0.0447248
58376.4143866 2 17.4594 0.04876
58373.4422454 2 17.9614 0.0542373
58370.4371875 2 18.9538 0.0834317
