ZTF19ablpfhz 0.060000 Ia
58738.4998958 1 20.6474 0.38229
58735.4497222 1 20.6073 0.258955
58732.4222454 1 20.5585 0.260927
58725.464537 1 19.7036 0.159535
58722.4420023 1 19.3107 0.119969
58719.5078009 1 18.9524 0.159489
58719.4964583 1 18.8815 0.129619
58712.4851157 1 18.5375 0.10656
58709.4916088 1 18.4612 0.132745
58706.4546991 1 18.5402 0.0808726
58703.4888889 1 18.4972 0.0769265
58699.468125 1 18.7624 0.0912219
58696.4517014 1 19.2115 0.126427
58693.4457292 1 20.1946 0.255611
