ZTF18abkhcwl 0.031640 Ia
58378.1325347 2 17.8613 0.0614466
58371.1359954 2 17.5556 0.0610365
58365.1444792 2 17.4315 0.0473427
58362.1408912 2 17.4301 0.054111
58362.1399421 2 17.4018 0.0425233
58359.2245486 2 17.3291 0.0525942
58357.2327083 2 17.2657 0.0707275
58356.2401273 2 17.184 0.05685
58353.2330556 2 16.9372 0.0415387
58353.2325926 2 16.9707 0.0567488
58353.1479745 2 16.9362 0.0560202
58350.152662 2 16.7485 0.0634619
58346.1720023 2 16.6635 0.0499237
58344.1857639 2 16.6273 0.0522259
58343.1531134 2 16.6615 0.0456319
58340.1852778 2 16.765 0.0535168
58339.1555324 2 16.794 0.0466059
58336.2137269 2 17.0855 0.0542187
58336.2132755 2 17.1071 0.0451019
58333.1667708 2 17.6984 0.0523499
58333.1658218 2 17.7056 0.0673082
58330.3026273 2 18.6473 0.0970567
58330.3021759 2 18.7304 0.129096
