ZTF20aafsnpp 0.044500 Ia
58904.4553356 1 20.5358 0.258414
58900.3883912 1 20.1585 0.334327
58899.3911921 1 20.2197 0.198088
58898.4516088 1 20.2769 0.183261
58895.4052662 1 19.7808 0.139573
58894.3662269 1 20.0576 0.280951
58893.451331 1 19.6548 0.193946
58893.4503125 1 19.6687 0.209142
58891.4337963 1 19.4201 0.174052
58890.5116898 1 19.2756 0.252336
58887.4342245 1 19.078 0.150391
58886.4696528 1 18.9541 0.131714
58885.453206 1 18.8736 0.116071
58884.4525 1 18.8044 0.115602
58884.4515972 1 18.7631 0.0977941
58883.4924884 1 18.7606 0.125093
58881.511956 1 18.6467 0.0689128
58881.5110417 1 18.737 0.0856768
58880.4917245 1 18.5993 0.0811854
58879.4928819 1 18.6106 0.0897062
58878.512419 1 18.4897 0.0919948
58878.5115162 1 18.549 0.0948199
58877.5379514 1 18.6184 0.091468
58876.5127315 1 18.478 0.067818
58875.4691435 1 18.4791 0.080293
58875.464537 1 18.5044 0.085106
58873.4090394 1 18.3199 0.075941
58871.4671296 1 18.6025 0.0818274
58863.4479051 1 19.9896 0.203469
