ZTF19abqgytb 0.056000 Ia
58770.4633912 2 19.598 0.192048
58766.5083102 2 19.3014 0.133876
58763.508287 2 19.2034 0.0898895
58759.4938889 2 19.0966 0.108389
58756.5061806 2 19.0384 0.0958104
58750.5111111 2 18.7632 0.0904964
58747.4632639 2 18.5441 0.098214
58744.4750347 2 18.2723 0.094292
58741.4645833 2 18.1654 0.0694286
58735.5173958 2 17.9153 0.0706827
58732.5115046 2 17.8216 0.051789
58726.5070139 2 17.5672 0.0421467
58723.5082292 2 17.4168 0.0500282
58719.4727083 2 17.3 0.0426299
58716.4885532 2 17.2824 0.0441499
