ZTF19aakoasy 0.033493 Ia
58606.206169 2 19.3776 0.0995536
58597.2478125 2 19.1768 0.0790332
58596.2541551 2 19.041 0.12886
58586.2502894 2 18.8562 0.0812007
58583.2758449 2 18.5716 0.0703036
58580.3479514 2 18.3985 0.0686895
58580.2792245 2 18.5635 0.0882147
58567.3178125 2 17.8378 0.0524791
58559.2703819 2 17.6518 0.057719
58558.2200231 2 17.4814 0.0766776
58543.3386111 2 17.1805 0.050854
58540.2835532 2 17.6469 0.0754183
58538.3741667 2 18.0845 0.161846
58538.3737153 2 18.1492 0.154402
