ZTF18abbpeqo 0.067000 Ia
58323.2852546 1 19.5727 0.200588
58319.17875 1 19.503 0.152229
58319.1764236 1 19.3306 0.164687
58314.2358218 1 18.9599 0.110005
58308.200463 1 18.3967 0.068471
58302.2008102 1 18.063 0.0765978
58300.2032986 1 18.1166 0.0632764
58299.1821991 1 18.1614 0.0691459
58296.1840162 1 18.2011 0.119439
58293.2214583 1 18.4376 0.0801916
58293.2177315 1 18.4709 0.0865217
58290.2048727 1 18.9507 0.134809
58290.1997106 1 18.9599 0.106609
