ZTF19acbunmk 0.028000 Ia
58812.2878472 2 18.509 0.0885481
58803.2949306 2 18.0514 0.0669051
58800.314919 2 17.7468 0.0865237
58797.3332523 2 17.526 0.0537589
58793.3645255 2 17.3663 0.0425815
58790.3745139 2 17.2955 0.0524553
58781.3159954 2 16.9004 0.0533279
58778.3806134 2 16.7745 0.0294709
58775.3392824 2 16.6019 0.0346866
58769.3572801 2 16.615 0.0364627
58766.4889236 2 16.7205 0.0360426
58763.3569907 2 17.0762 0.050936
58760.3280208 2 17.7065 0.0573462
58757.5166667 2 18.7015 0.0891671
