ZTF19abiztut 0.120000 Ia
58730.4231481 2 20.3785 0.204272
58722.483287 2 20.1259 0.156099
58719.4612731 2 20.0352 0.209302
58712.442581 2 19.5926 0.190771
58709.4010648 2 19.4484 0.187147
58706.4970833 2 19.4422 0.136422
58703.4549421 2 19.3204 0.133222
58699.4860995 2 19.384 0.0991812
58696.4963426 2 19.3495 0.113844
58693.4833796 2 19.7194 0.129507
