ZTF18abfwuwn 0.100000 Ia
58343.1798264 1 19.953 0.136446
58337.1805556 1 19.477 0.0897641
58334.1873611 1 19.2176 0.10754
58331.2382292 1 19.0218 0.0931178
58328.1822454 1 18.8058 0.0944314
58325.2034028 1 18.7994 0.0952551
58322.200706 1 18.7403 0.102112
58319.198206 1 18.8856 0.126343
58314.2410069 1 19.418 0.0839072
