ZTF19abuclhk 0.050000 Ia
58763.4862037 2 19.0928 0.103517
58759.3832986 2 18.9725 0.0837588
58750.4700463 2 18.8844 0.0916212
58747.47125 2 18.7467 0.088558
58744.446331 2 18.459 0.0812757
58741.4467824 2 18.2733 0.0725729
58738.5086458 2 18.0944 0.0505525
58735.4941204 2 18.1716 0.050197
58732.4887616 2 18.3107 0.0539032
58727.4976736 2 18.8667 0.0817955
