ZTF19achajnc 0.090000 Ia
58805.4943171 1 19.8203 0.204636
58805.4929282 1 19.7996 0.197661
58799.5343287 1 19.3015 0.178806
58796.2825116 1 19.221 0.178524
58796.2643403 1 19.2188 0.256018
58793.5309144 1 18.9781 0.0917325
58793.5294213 1 18.875 0.070576
58790.5369676 1 18.8318 0.0740348
58790.3490278 1 18.8353 0.0811517
58787.4232176 1 18.7861 0.0853418
58784.4662963 1 18.8672 0.118347
58784.4641667 1 18.8708 0.0991791
58778.5100463 1 19.7938 0.156039
58778.508206 1 19.7237 0.221676
