ZTF19aaugoig 0.050900 Ia
58662.200625 1 20.1574 0.272587
58658.1941898 1 20.051 0.179561
58651.1729398 1 19.4768 0.215423
58645.1953819 1 19.4545 0.173109
58642.1696065 1 19.0199 0.108691
58639.2259375 1 18.7067 0.0734636
58636.2441667 1 18.4409 0.068477
58633.2429167 1 18.2117 0.0500323
58628.1944907 1 17.8673 0.048292
58612.1727894 1 18.7896 0.0626034
