ZTF19abtnftd 0.080000 Ia
58757.2069792 1 20.9365 0.304085
58747.1348264 1 19.6986 0.15768
58741.143669 1 19.1908 0.176238
58738.1443634 1 19.086 0.14126
58737.3060648 1 19.0305 0.142145
58736.2931597 1 18.9014 0.116367
58735.2835648 1 19.0275 0.117229
58734.2849884 1 18.8997 0.108133
58733.28375 1 18.8326 0.0996265
58732.2844213 1 18.9384 0.0886476
58727.3093981 1 19.1716 0.126692
58726.2874421 1 19.2621 0.103792
58725.2860532 1 19.4538 0.108165
58724.3098495 1 19.6675 0.130685
58723.3098148 1 19.8311 0.144598
58722.2872917 1 20.0776 0.170652
