ZTF20aalrptc 0.054000 Ia
58914.4847222 1 20.0234 0.226132
58911.5547338 1 19.6357 0.185132
58911.5254514 1 19.5844 0.159928
58906.5251968 1 19.0155 0.119794
58903.5274537 1 18.6649 0.0657933
58898.5611343 1 18.3139 0.054254
58893.4988194 1 18.0726 0.0552937
58890.5468287 1 18.1158 0.102244
58887.4633681 1 18.3922 0.0698062
58884.4672222 1 18.8427 0.117505
58881.5198264 1 19.6343 0.144881
