ZTF19abjpntj 0.055000 II
58793.189213 1 20.1915 0.278823
58788.1611227 1 20.1699 0.251078
58786.1678819 1 20.4167 0.226683
58785.1609259 1 20.4393 0.236522
58783.1612269 1 20.5736 0.244814
58779.1609375 1 20.5657 0.276362
58778.1611227 1 20.3231 0.205949
58776.1604861 1 20.655 0.252661
58764.1646065 1 20.1833 0.302846
58763.3949884 1 20.14 0.181247
58760.3571296 1 20.0288 0.173011
58757.4015509 1 20.1561 0.213862
58750.3605556 1 19.9244 0.210944
58736.4610532 1 19.8161 0.159385
58733.4544444 1 19.8 0.14995
58730.4717708 1 19.7268 0.142782
58725.4188194 1 19.5814 0.102917
58722.4144213 1 19.4768 0.113829
58719.4852894 1 19.3084 0.130939
58718.4541667 1 19.2973 0.138227
58709.4802778 1 19.0862 0.121768
58709.4565972 1 19.1647 0.132152
58708.4375926 1 19.0638 0.104676
58706.4582292 1 19.1278 0.0990371
58703.503912 1 19.0697 0.1171
58703.4782986 1 19.2041 0.108509
58700.4906597 1 19.1651 0.0850867
58699.4550579 1 19.0506 0.0905901
58696.44125 1 19.2371 0.117188
58693.4556829 1 19.5152 0.107548
