ZTF19acckggd 0.080000 Ia
58799.4664236 2 19.3803 0.184111
58799.3649306 2 19.5907 0.246247
58798.4345139 2 19.4708 0.208938
58796.5349537 2 19.4242 0.14425
58793.5045139 2 19.5205 0.116727
58787.5149769 2 19.2398 0.145693
58784.5175347 2 19.2818 0.200304
58781.494213 2 19.0429 0.158435
58778.4868866 2 18.8281 0.117537
58773.5166667 2 18.8544 0.161783
58769.4643634 2 18.9129 0.101922
58766.5297685 2 19.0318 0.0854691
58759.5066551 2 20.2884 0.194996
