ZTF19abhjhes 0.080000 Ia
58733.4064931 2 20.3346 0.213287
58721.4587037 2 19.5811 0.12417
58718.4617245 2 19.4751 0.107137
58715.4223958 2 19.2329 0.13697
58712.425625 2 19.2383 0.112773
58706.4988889 2 19.1907 0.0974615
58703.4421528 2 18.9385 0.0869834
58700.4428935 2 18.7499 0.0681578
58697.4243866 2 18.6105 0.0744723
58694.4121412 2 18.5884 0.0688713
58691.4335301 2 18.7241 0.076356
58688.4346296 2 18.958 0.09196
58685.4463889 2 19.5766 0.172581
