ZTF19abopyyu 0.070000 Ia
58759.4047338 1 20.7943 0.323687
58756.4029051 1 20.825 0.364948
58749.3227546 1 20.3099 0.235834
58736.4615046 1 19.3542 0.113079
58733.4644907 1 19.0647 0.099928
58730.4713079 1 18.828 0.088863
58727.4392014 1 18.6273 0.0876314
58724.4401968 1 18.4326 0.073599
58718.4101389 1 18.3127 0.109716
58715.5064815 1 18.2971 0.0822789
58709.4994676 1 18.8084 0.0953471
58706.4661806 1 19.3197 0.14417
58703.4773843 1 20.8916 0.351915
