ZTF18acbwarv 0.060000 Ia
58450.5111458 1 19.4375 0.163361
58450.4968866 1 19.5692 0.174894
58443.5363079 1 18.7927 0.0823383
58441.5150463 1 18.6557 0.0759799
58440.4921644 1 18.5562 0.0785898
58438.4887153 1 18.3763 0.0549247
58432.4928935 1 18.0246 0.042142
58432.4726273 1 18.0719 0.0566266
58429.4945718 1 17.9854 0.0564475
58429.4858102 1 17.937 0.0784744
58426.4958565 1 17.9119 0.0586019
58426.4940278 1 18.0268 0.0683506
58423.4638079 1 18.064 0.0845586
58423.4633449 1 18.0091 0.0939555
