ZTF19aaxibby 0.056000 Ia
58691.4413657 1 20.3684 0.316972
58674.4247917 1 19.6062 0.115098
58668.4422801 1 19.3325 0.105943
58665.4812153 1 19.0322 0.0933054
58653.3762847 1 18.2979 0.113627
58647.4641435 1 18.4156 0.0554359
58644.4390972 1 18.5647 0.0676165
58641.4392824 1 18.8278 0.0853772
58638.4444097 1 19.3756 0.187148
