ZTF19aafmvdb 0.023000 Ia
58608.2330324 2 20.0977 0.167609
58597.3326852 2 19.7753 0.163062
58586.2313079 2 19.4714 0.1496
58583.2735532 2 19.3358 0.118139
58580.2742361 2 19.2262 0.121895
58572.2947454 2 18.9291 0.106219
58567.3160069 2 18.7951 0.0842024
58559.2894676 2 18.359 0.053293
58543.3381481 2 17.7137 0.0507352
58538.3367361 2 17.6388 0.260742
58526.4868056 2 16.9109 0.0427088
58513.4261806 2 18.2453 0.0631186
58509.4815972 2 19.9161 0.235622
