ZTF18aboaeqy 0.115000 Ia
58377.1292593 2 20.0705 0.192063
58374.1612037 2 19.985 0.178861
58371.161875 2 19.7492 0.135073
58368.1624306 2 19.6728 0.127416
58365.1440046 2 19.4883 0.113978
58362.1394676 2 19.4344 0.127567
58356.2148611 2 19.3916 0.172972
58353.149838 2 19.4883 0.136082
58350.1540741 2 19.6483 0.171148
