ZTF19abxvles 0.064000 Ia
58768.4287963 1 19.5714 0.255071
58767.479537 1 19.6743 0.211091
58764.503287 1 19.4197 0.120571
58759.4383681 1 19.018 0.0981553
58756.4230787 1 18.7309 0.0856076
58749.4802778 1 18.2637 0.0708657
58741.5007755 1 18.149 0.0849975
58737.4807176 1 18.3974 0.0763691
58733.4811227 1 18.9572 0.106646
58733.4811227 1 18.9572 0.106646
