ZTF20aammhli 0.015000 Ia
58971.3950231 2 20.1378 0.262323
58968.4294676 2 20.1403 0.184915
58966.4631134 2 20.3037 0.170923
58965.4459028 2 20.2309 0.17574
58964.4433681 2 20.037 0.171977
58962.4739468 2 20.1843 0.202712
58961.444294 2 19.9918 0.204592
58956.4896181 2 19.898 0.199504
58955.4527662 2 19.9111 0.179206
58954.4917708 2 19.8839 0.156152
58944.5111343 2 19.4577 0.139442
58943.4731944 2 19.3436 0.110823
58941.4366204 2 19.3881 0.148023
58940.5132986 2 19.2449 0.128872
58936.5187616 2 19.0879 0.109323
58915.5285532 2 17.7853 0.0578165
58914.5256019 2 17.7413 0.05878
58913.4945602 2 17.6957 0.053772
58912.4930787 2 17.6561 0.0528618
58911.5083681 2 17.6517 0.0563762
58908.5082523 2 17.4702 0.049677
58908.5082523 2 17.4702 0.049677
58906.5136921 2 17.3558 0.063326
58903.5126157 2 17.1571 0.0426787
58900.4877662 2 17.2488 0.0520191
58899.5136227 2 17.1745 0.043986
58898.5264815 2 17.1934 0.0465212
58895.5152894 2 17.4109 0.0420664
58894.5385764 2 17.5385 0.0493926
58893.5481944 2 17.6928 0.0502235
58892.5134954 2 17.8809 0.0574614
58890.4890625 2 18.3818 0.20534
58888.4973495 2 18.8358 0.202396
58887.5480903 2 19.4188 0.221395
