ZTF19aayveer 0.080000 Ia
58674.4302662 1 20.3519 0.212737
58668.3032292 1 19.7877 0.169226
58665.4635532 1 19.4204 0.114968
58663.4570486 1 19.1886 0.13251
58662.4262616 1 19.2346 0.109908
58661.455787 1 19.1967 0.113485
58655.2991898 1 18.972 0.179948
58648.4445949 1 19.5608 0.131713
58645.4228241 1 20.0572 0.160327
