ZTF19aatgrpm 0.080330 Ia
58642.1992593 1 20.1706 0.237445
58639.2263889 1 19.8414 0.157128
58639.2259375 1 19.9111 0.15358
58636.2441667 1 19.5793 0.114653
58633.2429167 1 19.3953 0.103483
58633.2281944 1 19.3622 0.126731
58628.1944907 1 18.9557 0.070784
58622.1573727 1 18.0776 0.245365
58612.1727894 1 18.7469 0.0723421
58612.172338 1 18.7353 0.0787635
58608.2774653 1 19.2253 0.106953
58608.2765509 1 19.2702 0.159162
58605.2347917 1 20.0767 0.156991
58605.2338773 1 20.1449 0.192229
