ZTF19aarflsx 0.080000 Ia
58642.2146644 2 20.244 0.193671
58618.2688542 2 19.0445 0.154864
58612.1915741 2 18.9226 0.0626056
58608.2339352 2 18.7778 0.0605196
58606.2440162 2 18.752 0.077969
58597.3299421 2 19.0432 0.113873
58597.2451042 2 19.1902 0.088653
58594.3174306 2 19.4253 0.19555
58593.2825231 2 19.5285 0.199563
