ZTF19aarmznp 0.051230 Ia
58640.1729051 1 19.2846 0.163375
58637.2227199 1 19.0015 0.105724
58634.194375 1 18.8267 0.0849173
58612.1746528 1 17.3123 0.0469465
58608.2075116 1 17.3158 0.0528705
58605.2113657 1 17.4958 0.051888
58601.247581 1 18.0376 0.0582195
58601.2290856 1 18.0418 0.066655
58597.2541088 1 19.3629 0.116578
