ZTF18acsovsw 0.041000 Ia
58580.2336458 1 20.3217 0.203254
58575.2566435 1 20.4925 0.29213
58567.2074421 1 20.3277 0.236986
58556.3433912 1 20.1037 0.396212
58526.4139236 1 19.5389 0.183048
58522.3991319 1 19.5842 0.135186
58507.4699769 1 19.2882 0.262173
58494.4688079 1 18.209 0.0650136
58491.4602315 1 17.9209 0.0813189
58486.4356366 1 17.4712 0.0444305
58482.487581 1 17.0971 0.037952
58480.4854282 1 16.9283 0.0353529
58464.4685764 1 16.9563 0.0552822
58461.4543519 1 17.5048 0.0587155
