ZTF19abhdlxp 0.050000 Ia
58733.4032986 2 19.8368 0.148968
58730.4195255 2 19.833 0.13012
58726.3826505 2 19.3692 0.105631
58723.3876736 2 19.2457 0.0837342
58720.3872106 2 19.1643 0.111691
58717.4732292 2 19.1814 0.119763
58711.422662 2 19.0753 0.138213
58707.480706 2 18.8636 0.0612694
58704.4806713 2 18.6398 0.0678776
58696.4651042 2 18.2862 0.0512878
58693.4819792 2 18.3031 0.0533916
58684.4611227 2 18.7572 0.100143
58681.4579514 2 19.2902 0.166691
