ZTF20aamfpcj 0.088500 Ia
58939.2271875 2 20.0934 0.210907
58939.1657639 2 20.3618 0.282687
58912.226412 2 19.0313 0.118691
58909.2974306 2 18.8863 0.117682
58906.2310301 2 18.7503 0.108881
58903.2267361 2 18.68 0.075722
58900.2445139 2 18.633 0.0757898
58899.267662 2 18.6915 0.071359
58898.312037 2 18.7174 0.07641
58896.2920949 2 18.6926 0.081255
58896.2861458 2 18.7117 0.0690893
58895.2771412 2 18.7636 0.080815
58894.2700116 2 18.798 0.0917308
58894.2557755 2 18.7134 0.104442
58893.2745949 2 18.7733 0.0822714
58891.30875 2 18.921 0.117505
58891.3078472 2 18.9043 0.101746
58886.2731829 2 19.4204 0.197784
58886.2722801 2 19.4495 0.176149
58885.2281713 2 19.4603 0.291972
58880.3077083 2 20.7853 0.369568
