ZTF20aaerqjd 0.090000 Ia
58903.5372338 1 20.9734 0.286223
58899.5352662 1 20.6796 0.27026
58898.5482755 1 20.6746 0.273604
58893.4903935 1 20.1511 0.217288
58887.4559375 1 19.7028 0.241519
58881.5146991 1 19.0752 0.0938758
58878.5291667 1 18.866 0.114844
58875.4898264 1 18.6985 0.100736
58872.4328588 1 18.5039 0.0696256
58864.4685532 1 18.6408 0.0938538
58861.514294 1 18.8088 0.145981
58856.5504167 1 20.0365 0.155385
