ZTF18acuscgc 0.070000 Ia
58493.2775116 2 19.5678 0.131247
58490.2213194 2 19.5755 0.14451
58486.4484375 2 19.3777 0.162405
58480.4267824 2 19.1459 0.119006
58474.3277546 2 18.6929 0.125104
58472.2905556 2 18.7057 0.0933328
58471.2872569 2 18.7116 0.0971076
58464.3016551 2 18.9827 0.139516
58461.5150116 2 19.6559 0.166699
