ZTF18abdkimx 0.080000 Ia
58343.1759722 1 20.4339 0.21387
58333.1765625 1 19.9064 0.171313
58330.1610301 1 19.6828 0.177631
58327.1992361 1 19.4507 0.206413
58324.2849537 1 19.0058 0.132419
58321.1925116 1 18.7132 0.0886441
58318.3914236 1 18.6156 0.074329
58308.1986458 1 18.6309 0.0678479
58302.1994097 1 19.6941 0.127992
