ZTF19aapszzy 0.060000 Ia
58641.227419 1 20.347 0.270936
58638.3277083 1 20.5121 0.277747
58635.2229745 1 20.6819 0.276549
58632.346794 1 20.7111 0.263265
58616.283912 1 19.4789 0.166315
58612.3007407 1 19.0192 0.0810704
58606.4188657 1 18.4138 0.0670728
58596.4434838 1 17.8757 0.0677212
58592.4362384 1 17.9535 0.0861083
58589.4134838 1 18.3252 0.0853698
58586.4080208 1 18.8938 0.130899
58583.369456 1 20.1239 0.212609
