ZTF20aamdyal 0.110000 Ia
58914.5279167 2 19.1812 0.077275
58913.4607176 2 19.1339 0.0959239
58912.4963194 2 19.1354 0.0773992
58911.5120255 2 19.0754 0.0937389
58908.4903125 2 18.9354 0.0688114
58906.4836111 2 18.8177 0.069887
58904.5312731 2 18.7423 0.086092
58903.5112153 2 18.7736 0.0689823
58899.508044 2 18.7575 0.069684
58898.5320255 2 18.7913 0.050544
58895.5133102 2 18.8008 0.0647119
58894.5345139 2 18.8794 0.0774186
58893.5299537 2 18.8429 0.0686225
58892.5125116 2 18.9316 0.0813166
58890.4627546 2 19.0695 0.25526
58888.4954051 2 19.1786 0.163854
58887.5466667 2 19.6537 0.169759
58886.5538542 2 19.6326 0.125286
58885.5399884 2 19.9895 0.183122
58884.5552315 2 20.3001 0.239327
