ZTF18aczdetm 0.029000 Ia
58584.3229167 2 20.1101 0.202325
58581.2649421 2 19.9817 0.276131
58581.2608449 2 20.1713 0.357668
58573.2664699 2 19.8216 0.305342
58572.3047801 2 19.6736 0.246127
58560.3503125 2 19.4582 0.196418
58559.215 2 19.6296 0.231216
58557.2561921 2 19.1933 0.326915
58556.2196412 2 19.3104 0.136862
58543.2603704 2 18.9074 0.221425
58534.4304282 2 18.6571 0.222821
58524.4487963 2 18.3303 0.0659452
58514.4153588 2 17.5801 0.133749
58511.4033218 2 17.5689 0.0581639
58509.487662 2 17.5034 0.0541062
58508.464375 2 17.4502 0.0525034
58506.5575463 2 17.5171 0.087672
58503.4868866 2 17.4042 0.0828171
58502.5125463 2 17.4287 0.0570407
58494.4475 2 16.9515 0.0331085
58487.5389236 2 16.6673 0.0294348
58487.5360764 2 16.6789 0.0394445
58481.5134491 2 16.7841 0.0452951
58480.5543056 2 16.8389 0.0403736
58476.5059028 2 17.3397 0.0588013
58476.5053588 2 17.3387 0.0458954
58476.4808102 2 17.3219 0.043314
58472.445787 2 18.4341 0.0820575
58472.4212153 2 18.4401 0.0989477
