ZTF19aalafip 0.088000 Ia
58597.2478125 2 20.2291 0.165924
58593.2797569 2 19.9457 0.267701
58586.2158449 2 20.034 0.198153
58583.2731019 2 19.8464 0.170665
58583.2731019 2 19.8464 0.170665
58582.2248264 2 19.7866 0.154977
58580.3479514 2 19.5693 0.145976
58580.2250347 2 19.5317 0.113184
58573.2565625 2 19.1569 0.116339
58567.249537 2 19.0129 0.0898654
58558.2200231 2 18.4968 0.125212
58557.2662269 2 18.4512 0.109547
58543.3390625 2 19.2607 0.129144
