ZTF19aamhhgu 0.038200 Ia
58612.306331 1 20.7501 0.244721
58606.448912 1 20.7834 0.282111
58596.2370602 1 20.1966 0.215519
58592.4352894 1 19.7131 0.329383
58586.4098264 1 19.4121 0.114989
58583.3661806 1 19.0228 0.139415
58580.4084722 1 18.6244 0.0790194
58575.3450463 1 18.0095 0.0467958
58572.3926968 1 17.7187 0.059825
58567.3997917 1 17.4964 0.0555885
58560.2642824 1 18.3394 0.0775749
