ZTF19aaqcqkv 0.075000 Ia
58636.2573611 1 20.3998 0.179599
58633.261169 1 20.337 0.20634
58622.1728009 1 19.2874 0.187278
58612.2915394 1 18.4679 0.0729482
58606.4031944 1 18.0944 0.0621128
58600.2163542 1 17.9708 0.0533266
58597.3129282 1 17.9903 0.0539698
58594.2088542 1 18.2141 0.0969189
58587.3298727 1 19.6985 0.164903
58587.2240278 1 19.6613 0.158013
58585.2284375 1 20.5308 0.223424
