ZTF18abpaywm 0.045000 Ia
58397.1143981 1 19.8511 0.147744
58388.1247338 1 19.2194 0.101647
58388.1215046 1 19.1499 0.0879691
58385.1226273 1 18.9452 0.11013
58385.1212269 1 18.8784 0.116035
58382.195081 1 18.7022 0.0782864
58382.1936921 1 18.6118 0.0977246
58379.1777315 1 18.3787 0.0686643
58379.1524653 1 18.4191 0.0722604
58376.2474653 1 18.2002 0.071498
58376.2179282 1 18.2106 0.0658687
58373.2467824 1 17.9687 0.0579089
58373.2245486 1 18.006 0.0626177
58370.2223727 1 17.9018 0.0492746
58370.2031597 1 17.9453 0.0603409
58367.2350579 1 17.9067 0.0447431
58367.224456 1 17.8496 0.0500261
58364.2212269 1 17.8935 0.0536112
58364.2207407 1 17.9367 0.0521395
58361.2018519 1 18.0966 0.0522726
