ZTF19accjnpz 0.092000 Ia
58793.3503009 1 19.9454 0.171018
58790.3350694 1 19.9229 0.174333
58787.4331134 1 19.5697 0.22945
58781.4145023 1 19.2258 0.124668
58778.311713 1 19.1423 0.177111
58775.4375463 1 19.0374 0.0945849
58766.4078935 1 19.1001 0.150565
58763.4585648 1 19.3807 0.108451
58759.4388194 1 20.1223 0.200615
