ZTF19aayfaum 0.011300 Ia
58764.1197685 2 19.9229 0.204362
58740.2653356 2 19.3695 0.222597
58734.1362037 2 19.0213 0.128901
58727.1341319 2 18.7706 0.0972861
58715.3277083 2 18.4034 0.0759962
58712.2458565 2 18.3561 0.0714157
58709.2629977 2 18.2402 0.0816706
58703.1722801 2 17.9985 0.0643202
58700.1847454 2 17.8762 0.054738
58697.1778704 2 17.7039 0.0627703
58694.2050116 2 17.4998 0.0468052
58691.2041435 2 17.3257 0.0393455
58684.1794213 2 17.1468 0.0480458
58681.2617014 2 17.0961 0.0631139
58678.2409838 2 17.1 0.0454296
58675.2788194 2 17.0364 0.0404782
58669.3216088 2 16.6387 0.0379146
58666.352338 2 16.4803 0.0402857
58663.3251968 2 16.3224 0.0347588
58657.3618981 2 16.3032 0.0413978
58653.4100116 2 16.496 0.0371299
58650.3014699 2 16.7744 0.051134
58647.303831 2 17.4225 0.0507259
58644.33125 2 18.6184 0.0996234
58641.4100347 2 20.668 0.283475
