ZTF19abgpgyp 0.070000 II
58987.3408681 2 19.7551 0.119735
58986.3075231 2 19.7676 0.142166
58984.4086343 2 19.7198 0.122368
58983.3630556 2 19.7558 0.143233
58979.3521991 2 19.7473 0.143602
58973.3716435 2 19.7339 0.198078
58970.4105324 2 19.712 0.115016
58968.3947801 2 19.786 0.116278
58967.3839931 2 19.6561 0.116874
58964.4251042 2 19.6769 0.131842
58953.4528241 2 19.7589 0.137835
58943.487963 2 19.6707 0.123126
58936.5097801 2 19.6536 0.150195
58914.5345718 2 19.6399 0.123592
58911.5154282 2 19.6061 0.159777
58908.512963 2 19.541 0.13745
58908.512963 2 19.541 0.13745
58904.5251389 2 19.3772 0.115482
58898.5246759 2 19.4964 0.109464
58894.5289005 2 19.4199 0.126115
58885.5464583 2 19.2988 0.134625
58876.5736458 2 19.3895 0.1218
58873.5346065 2 19.3257 0.119865
58854.5706134 2 19.5391 0.280612
58793.0873148 2 19.0036 0.130142
58790.1105787 2 19.1662 0.20102
58781.0902199 2 18.9782 0.154287
58775.1021528 2 18.9219 0.0946124
58771.1013657 2 18.9633 0.119027
58768.1254167 2 18.7914 0.104965
58764.1178935 2 18.7248 0.0912369
58761.120463 2 18.5968 0.0784895
58740.2644329 2 18.4085 0.109337
58737.185463 2 18.263 0.0858895
58734.1436574 2 18.2578 0.0696739
58723.3319329 2 18.1433 0.0598041
58714.3504282 2 18.1443 0.0970006
58711.2847685 2 18.1101 0.0843442
58705.180081 2 18.0388 0.080421
58700.1773264 2 17.942 0.0489472
58697.1802083 2 17.9797 0.0556891
58694.2078009 2 17.8602 0.0611332
58691.1984722 2 17.7273 0.0486719
58684.177037 2 18.8582 0.0883707
58681.2672454 2 19.4637 0.170288
