ZTF18abbqjds 0.100000 Ia
58336.2152199 2 20.0351 0.174065
58334.163588 2 19.9391 0.175839
58332.2579167 2 19.5899 0.157744
58321.2259375 2 19.5847 0.168395
58300.3224074 2 18.7832 0.104656
58298.3069676 2 18.635 0.106213
58296.2470023 2 18.9859 0.108284
58295.279537 2 18.9608 0.112528
58293.2626852 2 19.0862 0.132794
58292.24375 2 19.0787 0.0996496
58290.2607986 2 19.345 0.117657
58289.2266782 2 19.3572 0.115268
58287.2630671 2 19.7412 0.128193
58286.3026157 2 19.7888 0.141422
