ZTF19aczkjxn 0.033330 II
58914.5181019 2 19.781 0.166205
58911.5177894 2 19.6127 0.179621
58911.496331 2 19.7891 0.266929
58908.5152315 2 19.1454 0.166801
58906.5197338 2 19.5132 0.27247
58904.5228588 2 19.3623 0.146955
58898.5392014 2 19.4042 0.148694
58898.53875 2 19.3126 0.118036
58894.5275116 2 19.2685 0.131331
58888.5093403 2 19.1263 0.231948
58886.5617245 2 19.144 0.137292
58885.542581 2 19.1652 0.109753
58883.5598958 2 19.2182 0.151657
58879.5442245 2 19.0977 0.212685
58879.5437616 2 19.2417 0.17745
58876.5614352 2 19.0718 0.109824
58876.560544 2 19.0605 0.107089
58873.538669 2 19.1301 0.113828
58873.5377662 2 19.0392 0.123186
58852.5642014 2 18.9322 0.106749
58852.5618403 2 18.9164 0.118418
