ZTF19aabyheu 0.021000 Ia
58612.1957407 2 19.8983 0.16159
58601.2612037 2 19.6207 0.140051
58597.3474769 2 19.3148 0.116196
58597.241875 2 19.4645 0.0980352
58594.1578125 2 19.174 0.0870007
58593.2694444 2 19.3834 0.174411
58587.2562616 2 19.0148 0.132876
58584.1846065 2 18.9165 0.102019
58582.2146991 2 19.0126 0.0914623
58581.2352199 2 18.8138 0.0704134
58572.2273727 2 18.7208 0.11771
58559.2427546 2 18.2683 0.0892492
58558.1828356 2 18.1957 0.103919
58541.2754745 2 17.4685 0.0803886
58538.2361343 2 17.4099 0.212496
58534.3671759 2 17.1478 0.0693352
58513.4397454 2 16.4014 0.042373
58513.4326505 2 16.2606 0.050061
58511.3924306 2 16.2449 0.0240579
58510.2836458 2 16.1883 0.0427087
58502.5185995 2 16.2177 0.0241699
58493.4414815 2 17.3042 0.0355826
58492.4476389 2 17.5363 0.0745766
58491.5297685 2 17.8886 0.0600757
