ZTF19acngsnb 0.110000 Ia
58812.2270486 2 19.6174 0.16165
58812.2256944 2 19.75 0.155289
58811.1489699 2 19.522 0.206884
58811.1480671 2 19.6074 0.194673
58806.2503935 2 19.2389 0.126521
58805.2105208 2 19.3668 0.118756
58803.2889236 2 19.2662 0.135145
58799.2098843 2 19.3455 0.237043
58794.2987384 2 19.3447 0.19588
58794.298287 2 19.5611 0.160058
58791.3408681 2 19.5349 0.153401
58791.3404167 2 19.6257 0.182926
58790.2022106 2 19.7726 0.219739
58788.2527546 2 20.0915 0.307376
58788.2509375 2 20.0543 0.30436
