ZTF20aawgrcu 0.042000 II
58987.4455093 1 19.5907 0.128311
58987.4445255 1 19.6014 0.1092
58986.4340509 1 19.4616 0.156652
58986.4058565 1 19.4677 0.114877
58985.4527546 1 19.4106 0.124423
58985.4512963 1 19.4382 0.116858
58981.3227662 1 19.1327 0.224025
58980.456169 1 19.3846 0.244668
58979.4450347 1 19.2911 0.192502
58979.4360764 1 19.2866 0.173326
58978.4297222 1 19.2107 0.181612
58977.385787 1 19.2904 0.287237
58976.4635069 1 19.3012 0.186598
58975.4681944 1 19.3887 0.179333
58975.3012384 1 19.2882 0.317332
58974.4765856 1 19.3513 0.152166
58972.473912 1 19.1077 0.0892257
58971.4497569 1 19.1446 0.108493
58971.4320949 1 19.1337 0.108208
58970.4703935 1 18.996 0.0826995
58968.4691204 1 18.9416 0.0872948
58968.4676852 1 18.932 0.1039
58967.4477894 1 18.923 0.103848
58967.4309954 1 18.8624 0.0998048
58966.44875 1 18.9211 0.0949961
58966.4464468 1 18.8891 0.0923124
58965.42875 1 19.264 0.106457
58964.4672222 1 19.6699 0.131001
58964.3959144 1 19.9266 0.19757
