ZTF18aarcypa 0.032000 Ia
58965.2428125 1 19.7252 0.143635
58964.2059144 1 19.876 0.145788
58911.4021528 1 19.8941 0.203353
58904.2752546 1 20.2052 0.254345
58900.3151042 1 19.9794 0.221841
58899.4158333 1 19.991 0.146281
58898.4160532 1 20.0164 0.220672
58874.3773958 1 19.6144 0.192625
58852.5412731 1 19.9923 0.159449
58849.5013426 1 20.3256 0.228415
58789.5077662 1 19.8154 0.205754
